ID, ParentID, Kind, What, Where, Start, End
16603@GPU[1].SA[0].L1VTLB[0], 16603_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1VTLB[0], 0.0000098900, 0.0000098900
16613@GPU[1].SA[0].L1VTLB[0], 16613_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1VTLB[0], 0.0000098910, 0.0000098910
16603_req_out, 16593@GPU[1].SA[0].L1VAddrTrans[0], req_out, *vm.TranslationReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098890, 0.0000098910
16613_req_out, 16599@GPU[1].SA[0].L1VAddrTrans[0], req_out, *vm.TranslationReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098900, 0.0000098920
16631@GPU[1].SA[0].L1VTLB[0], 16631_req_out, req_in, *vm.TranslationReq, GPU[1].SA[0].L1VTLB[0], 0.0000098920, 0.0000098920
16631_req_out, 16620@GPU[1].SA[0].L1VAddrTrans[0], req_out, *vm.TranslationReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098910, 0.0000098930
16616pipeline, 16616, pipeline, *writearound.bankTransaction, GPU[1].SA[0].L1VCache[0].Bank[0].Pipeline, 0.0000098930, 0.0000099530
16616, 16601@GPU[1].SA[0].L1VCache[0], cache_transaction, read, GPU[1].SA[0].L1VCache[0].Local, 0.0000098900, 0.0000099540
16628pipeline, 16628, pipeline, *writearound.bankTransaction, GPU[1].SA[0].L1VCache[0].Bank[0].Pipeline, 0.0000098940, 0.0000099540
16601@GPU[1].SA[0].L1VCache[0], 16601_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VCache[0], 0.0000098900, 0.0000099550
16628, 16612@GPU[1].SA[0].L1VCache[0], cache_transaction, read, GPU[1].SA[0].L1VCache[0].Local, 0.0000098910, 0.0000099550
16636pipeline, 16636, pipeline, *writearound.bankTransaction, GPU[1].SA[0].L1VCache[0].Bank[0].Pipeline, 0.0000098950, 0.0000099550
16612@GPU[1].SA[0].L1VCache[0], 16612_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VCache[0], 0.0000098910, 0.0000099560
16636, 16630@GPU[1].SA[0].L1VCache[0], cache_transaction, read, GPU[1].SA[0].L1VCache[0].Local, 0.0000098920, 0.0000099560
16647pipeline, 16647, pipeline, *writearound.bankTransaction, GPU[1].SA[0].L1VCache[0].Bank[0].Pipeline, 0.0000098960, 0.0000099560
16601_req_out, 16572@GPU[1].SA[0].L1VAddrTrans[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098890, 0.0000099560
16572@GPU[1].SA[0].L1VAddrTrans[0], 16572_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098870, 0.0000099560
16630@GPU[1].SA[0].L1VCache[0], 16630_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VCache[0], 0.0000098920, 0.0000099570
16647, 16638@GPU[1].SA[0].L1VCache[0], cache_transaction, read, GPU[1].SA[0].L1VCache[0].Local, 0.0000098930, 0.0000099570
16651pipeline, 16651, pipeline, *writearound.bankTransaction, GPU[1].SA[0].L1VCache[0].Bank[0].Pipeline, 0.0000098970, 0.0000099570
16572_req_out, 16449@GPU[1].SA[0].L1VROB[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098860, 0.0000099570
16612_req_out, 16582@GPU[1].SA[0].L1VAddrTrans[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098900, 0.0000099570
16582@GPU[1].SA[0].L1VAddrTrans[0], 16582_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098880, 0.0000099570
16449@GPU[1].SA[0].L1VROB[0], 16449_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098860, 0.0000099580
16582_req_out, 16450@GPU[1].SA[0].L1VROB[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VROB[0], 0.0000098870, 0.0000099580
16630_req_out, 16593@GPU[1].SA[0].L1VAddrTrans[0], req_out, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098910, 0.0000099580
16593@GPU[1].SA[0].L1VAddrTrans[0], 16593_req_out, req_in, *mem.ReadReq, GPU[1].SA[0].L1VAddrTrans[0], 0.0000098890, 0.0000099580
